iso2,year,indice_riesgo_climatico,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab
GT,2025,,,,,
HT,1990,,451.7202496892161,0.758980650078628,79.39698492462311,
HT,1991,,496.54598743386447,0.7545789249722,74.57264957264957,
HT,1992,,316.2765131343539,1.16755024661594,75.88652482269504,
HT,1993,,258.06637225881695,1.25091936869488,75.27472527472527,
HT,1994,,292.134224374091,1.18848565185335,82.91814946619218,
HT,1995,,372.0061046651246,1.22519462633385,51.11111111111111,
HT,1996,,377.22946502597233,0.942847807917707,44.95867768595041,
HT,1997,,425.1110858792564,0.993751372688353,33.057851239669425,
HT,1998,,465.36330625905066,0.778424833674881,46.15384615384615,
HT,1999,,509.57858527537496,0.619396171409139,58.02292263610315,
HT,2000,,820.6000467614642,0.349449568493596,51.736745886654475,
HT,2001,,748.821159844528,0.383295015006936,47.64309764309764,
HT,2002,,720.9695680425219,0.396885022338016,47.53199268738574,
HT,2003,,578.9952910797085,0.518316847636601,47.66355140186916,
HT,2004,,683.1852981552732,0.415056574952732,47.53199268738574,
HT,2005,,775.8457040569159,0.353534370526786,47.66187050359712,
HT,2006,,828.8057002895894,0.474483984535321,47.54385964912281,
HT,2007,,984.5669834485212,0.403575652806683,32.9059829059829,
HT,2008,,1094.6605842164367,0.399712731958641,37.242798353909464,
HT,2009,,1196.8528706017953,0.337463725935536,28.71012482662968,
HT,2010,,1209.727335030943,0.665741356287765,25.68162083936324,
HT,2011,,1312.0395355201322,0.530247287448995,12.356636271529888,
HT,2012,,1361.3939658737431,0.493447395435744,20.23069936421435,
HT,2013,,1457.8322117962648,0.586507266755589,13.561553030303031,
HT,2014,,1460.1889861391446,0.699288591917661,8.947775628626692,
HT,2015,,1411.1268474679646,0.574767533630933,8.277189605389799,
HT,2016,,1318.402681679532,0.790216838420377,6.857142857142858,
HT,2017,,1395.2394518446108,0.657342723836906,12.37582625118036,
HT,2018,,1496.3804897015589,0.44034486815939,19.211630123927552,
HT,2019,,1352.1720419153248,0.443318678876138,19.124299065420562,
HT,2020,,1290.3253866738314,0.577844130610775,20.398803589232305,
HT,2021,,1841.3318933722194,0.327641965983974,20.54162487462387,
HT,2022,,1760.626356687774,,,
HT,2023,,1705.7580846099909,,,
HT,2024,,2142.623305267883,,,
HT,2025,,,,,
HN,1990,,749.8181135526313,3.21092333246204,98.27511858559724,
HN,1991,,722.0006579311231,2.70781658118094,98.55072463768117,
HN,1992,,782.1115187094318,2.19178076917636,93.55527102005975,
HN,1993,,772.7422477298596,1.83497670451247,88.13427010148321,
HN,1994,,735.8861471573887,2.27034903839063,77.81584582441113,
HN,1995,,814.0490755690705,2.45297007789003,61.32697947214076,
HN,1996,,812.8170476022441,1.96802150042667,66.48190414085425,
HN,1997,,917.2726512009042,2.34343118281433,66.4859693877551,
